Wavelength nm.,Blank_1 - RawData,Blank_2 - RawData,DHL_1 - RawData,DHL_2 - RawData,DHL_3 - RawData,PON2_1 - RawData,PON2_2 - RawData,PON2_3 - RawData,DtP_1 - RawData,DtP_2 - RawData,DHL_PON2_1 - RawData,NaOH_1 - RawData,DHL_NaOH_1 - RawData,DHL_NaOH_2 - RawData,DHL_NaOH_3 - RawData
308,0.02265,0.02579,0.03467,0.03354,0.02913,0.02254,0.02176,0.02239,0.03159,0.0306,0.02883,0.02639,0.64594,0.77119,0.73268
309,0.02265,0.02576,0.03441,0.03325,0.02884,0.02251,0.02185,0.02242,0.03125,0.0302,0.02837,0.02637,0.52377,0.62739,0.59494
310,0.02253,0.02571,0.03419,0.033,0.0285,0.0225,0.0219,0.0224,0.03087,0.02983,0.02808,0.02641,0.42147,0.50666,0.47941
311,0.02243,0.02562,0.03393,0.03272,0.02814,0.02245,0.02196,0.02234,0.03061,0.02952,0.0278,0.02635,0.33615,0.40534,0.3825
312,0.02235,0.02554,0.03364,0.03248,0.02786,0.02243,0.02181,0.02218,0.03019,0.02925,0.02759,0.02624,0.26573,0.32138,0.30224
313,0.02225,0.0254,0.0333,0.03219,0.02765,0.02238,0.02166,0.02205,0.02988,0.02888,0.02726,0.02611,0.20873,0.25324,0.23722
314,0.02211,0.02519,0.03303,0.03189,0.02746,0.0223,0.02151,0.02197,0.02959,0.02852,0.02698,0.02596,0.16386,0.1991,0.18567
315,0.02191,0.02499,0.03273,0.03156,0.02712,0.02215,0.02141,0.02183,0.02933,0.02821,0.02669,0.02587,0.12891,0.15684,0.14546
316,0.02182,0.02479,0.03253,0.03128,0.02683,0.02201,0.02129,0.02165,0.02903,0.028,0.02649,0.02576,0.10202,0.1243,0.11456
317,0.02163,0.0246,0.03225,0.03105,0.02653,0.02183,0.02113,0.02144,0.0287,0.02769,0.02619,0.02564,0.08185,0.09997,0.09155
318,0.02162,0.02465,0.03218,0.031,0.0265,0.0219,0.02122,0.0215,0.02853,0.02755,0.0261,0.02567,0.06728,0.08216,0.07472
319,0.02162,0.02471,0.03213,0.03096,0.02646,0.022,0.0214,0.02167,0.0285,0.02749,0.02609,0.02573,0.05672,0.0691,0.06233
320,0.02169,0.02482,0.03209,0.03096,0.02636,0.02212,0.02145,0.02178,0.02835,0.02748,0.02603,0.02575,0.04899,0.0595,0.05314
321,0.0218,0.02469,0.032,0.03076,0.0262,0.02215,0.02139,0.02183,0.02822,0.02736,0.0259,0.0257,0.04329,0.05264,0.04654
322,0.02171,0.02455,0.03175,0.03059,0.026,0.02205,0.02129,0.02171,0.02796,0.02715,0.02563,0.02562,0.03917,0.04758,0.04177
323,0.02163,0.02444,0.03154,0.03047,0.02583,0.02204,0.02125,0.02171,0.02781,0.02695,0.02548,0.02564,0.0362,0.04397,0.03841
324,0.02144,0.02441,0.03121,0.03032,0.02553,0.02191,0.02115,0.02161,0.02762,0.02671,0.02524,0.0255,0.03404,0.04124,0.03596
325,0.02139,0.02436,0.03103,0.0301,0.0254,0.02191,0.02104,0.02164,0.02748,0.0266,0.02508,0.02543,0.03254,0.03948,0.03425
326,0.02136,0.0243,0.031,0.02983,0.02525,0.02192,0.02109,0.02157,0.02737,0.02641,0.02495,0.02535,0.03149,0.03825,0.03306
327,0.02136,0.02425,0.03097,0.02967,0.0252,0.02201,0.02118,0.02159,0.02724,0.02637,0.02484,0.02537,0.03076,0.03739,0.0322
328,0.02128,0.02428,0.03088,0.02954,0.02496,0.02196,0.0212,0.0216,0.02708,0.02613,0.02464,0.02531,0.03013,0.0366,0.03143
329,0.0212,0.02425,0.0306,0.02938,0.02473,0.02196,0.0211,0.02159,0.02685,0.02601,0.02443,0.02528,0.02971,0.03604,0.03077
330,0.02109,0.02419,0.03028,0.02921,0.02453,0.02183,0.02095,0.02153,0.02656,0.02575,0.02426,0.02511,0.02938,0.03554,0.03019
331,0.02117,0.02416,0.03027,0.02919,0.02452,0.02199,0.02099,0.0216,0.02652,0.02578,0.02425,0.02516,0.02926,0.03532,0.02998
332,0.0211,0.02399,0.03009,0.02902,0.02434,0.02196,0.02088,0.02152,0.02626,0.02553,0.02408,0.02506,0.02888,0.03494,0.02964
333,0.02104,0.02385,0.02992,0.02871,0.02409,0.02186,0.02077,0.02149,0.02602,0.02525,0.02385,0.02498,0.02845,0.03455,0.02925
334,0.02081,0.02357,0.02951,0.02828,0.02375,0.02162,0.02054,0.02122,0.02556,0.02484,0.02343,0.02471,0.02791,0.034,0.02874
335,0.02076,0.02357,0.02936,0.0281,0.02355,0.0215,0.02046,0.02122,0.02532,0.02472,0.02325,0.02459,0.02764,0.03362,0.02839
336,0.02069,0.02351,0.02923,0.02802,0.02339,0.02151,0.02041,0.02121,0.02516,0.02456,0.02306,0.02452,0.02741,0.03324,0.02804
337,0.02071,0.02354,0.02904,0.02789,0.02319,0.02151,0.02034,0.02129,0.02498,0.02447,0.023,0.02452,0.02721,0.03292,0.02772
338,0.02067,0.0235,0.0289,0.02771,0.02313,0.02143,0.02031,0.02134,0.02491,0.02434,0.02281,0.02454,0.027,0.03262,0.02746
339,0.02067,0.02343,0.02877,0.02753,0.023,0.02141,0.02031,0.02131,0.02475,0.0242,0.02265,0.02453,0.02677,0.03233,0.02721
