Time,average,sem,ul original,media
28527.8,1.328333333,0.012128937,9.090909091,TSB
28527.8,0.651666667,0.010974718,9.090909091,LB
28527.8,1.373666667,0.00788106,0.826446281,TSB
28527.8,0.502,0.01761628,0.826446281,LB
28527.8,1.429333333,0.013245544,0.07513148,TSB
28527.8,0.466666667,0.008412953,0.07513148,LB
28527.8,1.616333333,0.023779076,0.006830135,TSB
28527.8,0.453333333,0.006359595,0.006830135,LB
30310.9,0.103666667,0.002333333,0,TSB
30310.9,0.072333333,0.002185813,0,LB
30310.9,1.401,0.007937254,100,TSB
30310.9,1.093666667,0.011095545,100,LB
30310.9,1.329,0.009814955,9.090909091,TSB
30310.9,0.66,0.012701706,9.090909091,LB
30310.9,1.366,0.007505553,0.826446281,TSB
30310.9,0.511,0.01569501,0.826446281,LB
30310.9,1.404333333,0.01530069,0.07513148,TSB
30310.9,0.479666667,0.007218803,0.07513148,LB
30310.9,1.584,0.030989245,0.006830135,TSB
30310.9,0.463,0.005196152,0.006830135,LB
32094.1,0.103,0.002309401,0,TSB
32094.1,0.07,0.002309401,0,LB
32094.1,1.394666667,0.008412953,100,TSB
32094.1,1.102,0.010969655,100,LB
32094.1,1.327666667,0.011259564,9.090909091,TSB
32094.1,0.670333333,0.014310059,9.090909091,LB
32094.1,1.362333333,0.008569973,0.826446281,TSB
32094.1,0.526,0.014422205,0.826446281,LB
32094.1,1.393666667,0.012346839,0.07513148,TSB
32094.1,0.491333333,0.008252946,0.07513148,LB
32094.1,1.496333333,0.031466031,0.006830135,TSB
32094.1,0.473,0.003785939,0.006830135,LB
33877.2,0.097,0.002886751,0,TSB
33877.2,0.068,0.004041452,0,LB
33877.2,1.378666667,0.009261629,100,TSB
33877.2,1.099333333,0.012547687,100,LB
33877.2,1.325,0.009539392,9.090909091,TSB
33877.2,0.681333333,0.016189846,9.090909091,LB
33877.2,1.354333333,0.01068228,0.826446281,TSB
33877.2,0.534666667,0.012771496,0.826446281,LB
33877.2,1.379333333,0.012251984,0.07513148,TSB
33877.2,0.493666667,0.005783117,0.07513148,LB
33877.2,1.423333333,0.032353945,0.006830135,TSB
33877.2,0.477666667,0.005238745,0.006830135,LB
35660.2,0.099333333,0.002027588,0,TSB
35660.2,0.067333333,0.004176655,0,LB
35660.2,1.377,0.010816654,100,TSB
35660.2,1.103,0.010969655,100,LB
35660.2,1.328333333,0.01105039,9.090909091,TSB
35660.2,0.696333333,0.019615753,9.090909091,LB
35660.2,1.357,0.010016653,0.826446281,TSB
35660.2,0.554333333,0.012467736,0.826446281,LB
35660.2,1.378333333,0.014948058,0.07513148,TSB
35660.2,0.512,0.009865766,0.07513148,LB
35660.2,1.407666667,0.032671768,0.006830135,TSB
35660.2,0.488333333,0.004807402,0.006830135,LB
37443.3,0.100333333,0.002027588,0,TSB
37443.3,0.07,0.001527525,0,LB
37443.3,1.371666667,0.010333333,100,TSB
37443.3,1.117,0.010816654,100,LB
37443.3,1.332666667,0.008969083,9.090909091,TSB
37443.3,0.716,0.02330236,9.090909091,LB
37443.3,1.358,0.011846237,0.826446281,TSB
37443.3,0.575333333,0.012032364,0.826446281,LB
37443.3,1.378,0.013650397,0.07513148,TSB
37443.3,0.525666667,0.007172478,0.07513148,LB
37443.3,1.404333333,0.030355303,0.006830135,TSB
37443.3,0.497333333,0.000333333,0.006830135,LB
39226.4,0.096333333,0.00120185,0,TSB
39226.4,0.064333333,0.004371626,0,LB
39226.4,1.359333333,0.01068228,100,TSB
39226.4,1.113666667,0.01034945,100,LB
39226.4,1.332,0.011532563,9.090909091,TSB
39226.4,0.735666667,0.026522527,9.090909091,LB
39226.4,1.356666667,0.009820613,0.826446281,TSB
39226.4,0.595666667,0.009905105,0.826446281,LB
39226.4,1.365,0.011930353,0.07513148,TSB
39226.4,0.537333333,0.005333333,0.07513148,LB
39226.4,1.394333333,0.032834602,0.006830135,TSB
39226.4,0.504,0.003605551,0.006830135,LB
41009.5,0.101333333,0.005696002,0,TSB
41009.5,0.068666667,0.001333333,0,LB
41009.5,1.357666667,0.010728985,100,TSB
41009.5,1.124,0.008962886,100,LB
41009.5,1.344,0.009291573,9.090909091,TSB
41009.5,0.767333333,0.035573086,9.090909091,LB
41009.5,1.358,0.01266228,0.826446281,TSB
41009.5,0.626666667,0.010728985,0.826446281,LB
41009.5,1.373,0.014843629,0.07513148,TSB
41009.5,0.565,0.0090185,0.07513148,LB
41009.5,1.393666667,0.033177971,0.006830135,TSB
41009.5,0.519333333,0.002333333,0.006830135,LB
42792.5,0.108666667,0.003756476,0,TSB
42792.5,0.077,0.002886751,0,LB
42792.5,1.36,0.011150486,100,TSB
42792.5,1.134333333,0.010493384,100,LB
42792.5,1.350333333,0.008373238,9.090909091,TSB
42792.5,0.799333333,0.041734611,9.090909091,LB
42792.5,1.368,0.011846237,0.826446281,TSB
42792.5,0.657666667,0.008333333,0.826446281,LB
42792.5,1.376666667,0.015506271,0.07513148,TSB
42792.5,0.595666667,0.007310571,0.07513148,LB
42792.5,1.396,0.032501282,0.006830135,TSB
42792.5,0.545,0.00057735,0.006830135,LB
44575.6,0.088,0.001732051,0,TSB
44575.6,0.056,0.004618802,0,LB
44575.6,1.334666667,0.006960204,100,TSB
44575.6,1.121,0.011015141,100,LB
44575.6,1.332333333,0.003382964,9.090909091,TSB
44575.6,0.802333333,0.039142191,9.090909091,LB
44575.6,1.344666667,0.00669162,0.826446281,TSB
44575.6,0.662333333,0.005044249,0.826446281,LB
44575.6,1.356333333,0.01068228,0.07513148,TSB
44575.6,0.593666667,0.004176655,0.07513148,LB
44575.6,1.366666667,0.030931825,0.006830135,TSB
44575.6,0.533666667,0.004255715,0.006830135,LB
46358.7,0.101333333,0.003480102,0,TSB
46358.7,0.066,0.002516611,0,LB
46358.7,1.342666667,0.011850926,100,TSB
46358.7,1.136333333,0.008666667,100,LB
46358.7,1.346333333,0.010397649,9.090909091,TSB
46358.7,0.834333333,0.047799349,9.090909091,LB
46358.7,1.363333333,0.014169608,0.826446281,TSB
46358.7,0.697,0.009609024,0.826446281,LB
46358.7,1.372,0.018583146,0.07513148,TSB
46358.7,0.639333333,0.016855596,0.07513148,LB
